Viewer URL,Margot URL
https://rosetest.library.jhu.edu/dlmm/#rose/MontpellierH245/118r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bibliotheque-interuniversitaire-section-medecine-universite/bibliotheque-faculte-medecine-universite-montpellier-h245
https://rosetest.library.jhu.edu/dlmm/#rose/Chalons-en-Champagne270/031r/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/chalons-en-champagne-bibliotheque-municipale-ms-0270-end/chalons-en-champagne-bibliotheque-municipale-ms-0270-fol-31r
https://rosetest.library.jhu.edu/dlmm/#rose/Chalons-en-Champagne270/090v/image,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/chalons-en-champagne-bibliotheque-municipale-ms-0270-end/chalons-en-champagne-bibliotheque-municipale-ms-0270-fol-90v
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/bruxelles-bibliotheque-royale-belgique-ms-4782/bruxelle-bibliotheque-royale-belgique-ms-4782-fol-30v
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/geneva-bibliotheque-geneve-fr178-1353/geneva-bibliotheque-geneve-fr178-fol-70v-1353
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/geneva-bibliotheque-geneve-fr178-1353/geneva-bibliotheque-geneve-fr-178-fol-82r-1353
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/geneva-bibliotheque-geneve-fr178-1353/geneva-bibliotheque-geneve-fr178-fol-94v-1353
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/geneva-bibliotheque-geneve-fr178-1353/geneva-bibliotheque-geneve-fr178-fol-143r-1353
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/geneva-bibliotheque-geneve-fr178-1353/geneva-bibliotheque-geneve-fr178-fol-143v-1353
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-osterreichische-nationalbibliothek-codex-2592-fol-31v
,https://uwaterloo.ca/margot/margot-projects/reading-roman-rose-text-and-image/manuscripts-editions/vienna-osterreichische-nationalbibliothek-codex-2592-1350/vienna-ostereichische-nationalbibliothek-codex-2592-fol-75v
